Sample ID,Age (months),Sex,"INTERNAL Life time dose, mGy 134+137","Reasonable Total Life Time Dose mGy (Int+Ext,134+137)",Dose rate (uGy/h) at time of capture (Int+Ext; 134+137)
180526C1,8,Male,1.4329421925792445,5.752942192579245,0.5157360039224317
180526C2,8,Male,1.3762264325964402,3.3922264325964395,0.5454802346030092
180526C3,15,Male,3.9769700170043696,7.7569700170043685,0.7349578317124187
180528C1,8,Male,19.243042710692993,21.25904271069299,3.4364327104561485
180528C2,8,Female,5.2936561990112345,7.3096561990112345, 
180530C1,15,Female,5.3936996150523395,9.173699615052339,0.6554308036175125
180601C1,36,Female,41.505976094315315,60.94597609431531,1.9350437373545235
180602C1,36,Female,3.047372857680166,22.487372857680167,0.4568141970795413
180604C1,8,Male,3.7750649223439092,8.095064922343909,0.8645470342837107
180604C2,18,Female,2.682052298650594,7.218052298650594,0.6596078073851959
180607N1,15,Male,3.347340999355153,34.127340999355155,3.702211890049546
180612C1,15,Male,7.286765605830133,15.386765605830131,0.921101669192014
180614N1,18,Male,17.787364178847227,103.97136417884722,2.6225917351504915
180618N1,12,Female,12.429444319102517,135.54944431910252,10.904437999566838
180618N2,12,Female,8.490402334115986,131.610402334116,9.460109691497047
180618N3,12,Male,3.1117236208436028,60.56772362084361,3.15165784857897
180625N1,18,Male,25.652999317080976,210.33299931708098,16.595594081660334
180625N2,18,Male,16.912512043312578,201.59251204331258,20.05635265665574
180625N3,18,Female,11.146974805056317,195.82697480505632,5.030471883280545
180618N3,12,Male,3.1117236208436028,60.56772362084361,3.15165784857897
180626N2,0,Female, , , 
180626N3,12,Male,5.375045270424453,128.49504527042447,4.847229324205535
180627C1,10,Male,14.044683269468742,16.56468326946874,2.229655157258127
180627C2,10,Male,0.774522544498918,3.294522544498918,0.3054542539721315
180629N2,30,Male,1.407830364811058,145.04783036481103,0.25167318398507993
180629N3,7,Male,5.161513111513921,76.98151311151392,9.511173480086928
180629N4,10,Male,4.3846073778477415,106.98460737784774,1.5661188825591013
180702O2,12,Male,4.532643299161698,61.9886432991617,1.1615025679333546
180703O1,12,Male,2.640755749516364,27.26475574951636,2.297573457875416
180703O2,9,Male,8.779694959035378,101.11969495903539,7.833487319560333
180704O1,11,Female,12.159668091144539,64.82766809114455,13.299238636022205
180704O2,36,Female,22.25196622033913,194.61996622033914,2.027721598600116
180704O2P1,1,Female,0.38371539278834665,2.435715392788347,1.7721098230528431
180704O2P2,1,Female,0.43479592291152586,2.4867959229115257,1.8424991655964522
180704O2P3,1,Male,0.37309928676371085,2.425099286763711,1.757087430021893
180704O2P4,1,Male,0.3725827001887628,2.424582700188763,1.7563700664292456
180704O3,30,Male,14.108978887711958,157.74897888771196,2.0342429291036934
180706N1,12,Female,6.642064620198756,64.09806462019876,2.7393814368934617
180706N2,10,Male,1.386166628726721,49.26616662872672,1.5182400736006965
180707O1,10,Male,5.208858766886033,25.728858766886034,3.208817921365515
180707O2,6,Female,2.8775564066039494,31.605556406603952,2.9580057754516824
180709N1,48,Female,155.5697116608231,385.3937116608231,5.5158439994032795
180709N1P1,2,Female,2.089102928836947,6.193102928836947,3.0559191785888764
180709N1P2,2,Male,2.0889370630874673,6.192937063087467,3.0556659765864467
180709N1P3,2,Male,2.795268329214473,6.899268329214474,3.54562031733167
180709O1,10,Female, , , 
