Sample ID,Sex,Age (months),"INTERNAL Life time dose, mGy 134+137","Reasonable Total Life Time Dose mGy (Int+Ext,134+137)",Dose rate (uGy per h),Mean Telomere Length (qPCR)
180526C1,Male,8,1.4329421925792445,5.752942192579245,0.5157360039224317,1.0352062230439882
180526C2,Male,8,1.3762264325964402,3.3922264325964395,0.5454802346030092,1.2703902376757934
180526C3,Male,15,3.9769700170043696,7.7569700170043685,0.7349578317124187,0.9105588459702558
180528C1,Male,8,19.243042710692993,21.25904271069299,3.4364327104561485,0.8829082862954047
180530C1,Female,15,5.3936996150523395,9.173699615052339,0.6554308036175125,1.015620926850098
180601C1,Female,36,41.505976094315315,60.94597609431531,1.9350437373545235,1.065832866304896
180602C1,Female,36,3.047372857680166,22.487372857680167,0.4568141970795413,0.9813823374056376
180604C1,Male,8,3.7750649223439092,8.095064922343909,0.8645470342837107,1.251346184124521
180604C2,Female,18,2.682052298650594,7.218052298650594,0.6596078073851959,1.1179796310245491
180607N1,Male,15,3.347340999355153,34.127340999355155,3.702211890049546,1.3157046435212856
180612C1,Male,15,7.286765605830133,15.386765605830131,0.921101669192014,1.2600402707062195
180614N1,Male,18,17.787364178847227,103.97136417884722,2.6225917351504915,1.1501343266694883
180618N1,Female,12,12.429444319102517,135.54944431910252,10.904437999566838,1.7178923879686636
180618N2,Female,12,8.490402334115986,131.610402334116,9.460109691497047,1.1625603284274015
180618N3,Male,12,3.1117236208436028,60.56772362084361,3.15165784857897,1.5509279618765153
180618N3,Male,12,3.1117236208436028,60.56772362084361,3.15165784857897,1.5509279618765153
180625N1,Male,18,25.652999317080976,210.33299931708098,16.595594081660334,1.3216218430660267
180625N2,Male,18,16.912512043312578,201.59251204331258,20.05635265665574,1.1308130508079168
180625N3,Female,18,11.146974805056317,195.82697480505632,5.030471883280545,1.2012781077807717
180626N3,Male,12,5.375045270424453,128.49504527042447,4.847229324205535,1.2135506573457426
180627C1,Male,10,14.044683269468742,16.56468326946874,2.229655157258127,1.476052000019202
180627C2,Male,10,0.774522544498918,3.294522544498918,0.3054542539721315,1.3826183985891725
180629N2,Male,30,1.407830364811058,145.04783036481103,0.25167318398507993,0.8603908841417537
180629N3,Male,7,5.161513111513921,76.98151311151392,9.511173480086928,0.9037413481754294
180629N4,Male,10,4.3846073778477415,106.98460737784774,1.5661188825591013,1.0726551109085147
180702O2,Male,12,4.532643299161698,61.9886432991617,1.1615025679333546,1.3109682189719003
180703O1,Male,12,2.640755749516364,27.26475574951636,2.297573457875416,1.0439759812072962
180703O2,Male,9,8.779694959035378,101.11969495903539,7.833487319560333,0.9270080421880568
180704O1,Female,11,12.159668091144539,64.82766809114455,13.299238636022205,0.7845057803628904
180704O2,Female,36,22.25196622033913,194.61996622033914,2.027721598600116,0.8936273874596775
180704O2P1,Female,1,0.38371539278834665,2.435715392788347,1.7721098230528431,1.1003955703240356
180704O2P2,Female,1,0.43479592291152586,2.4867959229115257,1.8424991655964522,1.140626433406237
180704O2P3,Male,1,0.37309928676371085,2.425099286763711,1.757087430021893,1.3826714822728772
180704O2P4,Male,1,0.3725827001887628,2.424582700188763,1.7563700664292456,1.1085981175725048
180704O3,Male,30,14.108978887711958,157.74897888771196,2.0342429291036934,0.9237052246208448
180706N1,Female,12,6.642064620198756,64.09806462019876,2.7393814368934617,0.7128615605030628
180706N2,Male,10,1.386166628726721,49.26616662872672,1.5182400736006965,1.043307779424925
180707O1,Male,10,5.208858766886033,25.728858766886034,3.208817921365515,0.7705210130024303
180707O2,Female,6,2.8775564066039494,31.605556406603952,2.9580057754516824,1.091999782228796
180709N1,Female,48,155.5697116608231,385.3937116608231,5.5158439994032795,1.005627385110161
180709N1P1,Female,2,2.089102928836947,6.193102928836947,3.0559191785888764,1.0225571025389029
180709N1P2,Male,2,2.0889370630874673,6.192937063087467,3.0556659765864467,0.8363266805647616
180709N1P3,Male,2,2.795268329214473,6.899268329214474,3.54562031733167,1.172628960369518
