Sample ID,Sex,Age (months),"INTERNAL Life time dose, mGy 134+137","EXTERNAL Dose Reasonable Life Time, mGy (134+137)","Reasonable Total Life Time Dose mGy (Int+Ext,134+137)",Dose rate (uGy per h),Cortisol (pg/mg),encoded sex,Month,Year,mass (kg),length (cm),girth (cm)
1607261,Female,20,29.200071061155395,584.64,613.8400710611554,15.849121674295876,6.7368421052633085,1,July ,2016,38.7,107.0,68.8
1607262,Male,20,4.9973611397341715,204.624,209.62136113973412,3.3165928769812614,7.087576374745463,0,July ,2016,69,128.5,93.6
1607264,Female,18,31.137820051056515,88.704,119.8418200510565,5.1628285290160125,5.36,1,July ,2016,43.6,112.9,75.5
1611305O214,Female,20,18.404284661093076,584.64,603.0442846610931,4.167047841777396,4.24,1,November,2016,55.1,113.0,91.4
161206O231,Female,14,0.0,416.64,416.64,14.0,29.6,1,December,2016,39.2,111.1,77.8
161208O236,Female,11,9.786260502672043,112.896,122.68226050267204,8.167047841777396,8.32,1,December,2016,48.6,105.5,82.8
161215T1,Female,20,0.005151555923363891,1.4616000000000002,1.4667515559233641,0.10039957913016352,29.120000000000005,1,December,2016,43.4,120.2,77.7
161215T1,Female,20,0.005151555923363891,1.4616000000000002,1.4667515559233641,0.10039957913016352,30.253736531108817,1,December,2016,43.4,120.2,77.7
161215T2,Male,14,0.002509571416111381,1.0416,1.0441095714161115,0.10027689594376298,27.25552050473202,0,December,2016,30.3,98.5,66.8
161215T2,Male,14,0.002509571416111381,1.0416,1.0441095714161115,0.10027689594376298,23.79695431472076,0,December,2016,30.3,98.5,66.8
161216O247,Male,33,22.01658062583697,160.776,182.792580625837,3.7908252551692487,5.36,0,December,2016,99.8,132.3,114.1
161216O247,Male,33,22.01658062583697,160.776,182.792580625837,3.7908252551692487,7.394296951819106,0,December,2016,99.8,132.3,114.1
161216F117,Male,20,3.1367360235220736,96.4656,99.60233602352207,3.2005036577301924,6.0,0,December,2016,88.9,131.5,110.1
180526C1,Male,8,1.4329421925792445,4.32,5.752942192579246,0.5157360039224317,9.243840271877671,0,May,2018,32,103.0,79.7
180530C1,Female,15,5.39369961505234,3.78,9.17369961505234,0.6554308036175125,5.255474452554582,1,May,2018,31.2,99.0,71.5
180604C1,Male,8,3.775064922343909,4.32,8.09506492234391,0.8645470342837107,9.372937293729457,0,June,2018,40.5,105.0,80.5
180612C1,Male,15,7.286765605830133,3.78,11.066765605830133,0.9211016691920141,6.134715025906822,0,June,2018,34.8,110.0,83.5
180618N1,Female,12,12.429444319102517,123.12,135.54944431910252,10.904437999566838,14.645308924485116,1,June,2018,23.5,94.0,69.5
180618N2,Female,12,8.490402334115986,123.12,131.610402334116,9.460109691497047,15.026455026454682,1,June,2018,25,93.5,60.6
180625N1,Male,18,25.652999317080976,184.68,210.33299931708095,16.595594081660334,7.544715447154361,0,June,2018,40.1,112.0,85.0
180625N2,Male,18,16.912512043312578,184.68,201.59251204331258,20.05635265665574,36.14095898324679,0,June,2018,34.9,99.5,74.0
180625N3,Female,18,11.146974805056317,184.68,195.8269748050563,5.030471883280545,4.860267314702298,1,June,2018,26.9,90.5,69.0
180627C2,Male,10,0.7745225444989179,2.52,3.294522544498918,0.3054542539721315,13.472222222222245,0,June,2018,31.7,104.0,78.9
180629N3,Male,7,5.161513111513921,71.82,76.98151311151392,9.511173480086928,12.919254658385166,0,June,2018,22,99.0,63.0
