Sample ID,Sample Number (electronic sheet),Cortisol (pg/mg)
1608041,160804-1 ,22.99011052937747
161215T1,161215 T-1 ,29.120000000000005
161215T2,161215 T-2,27.25552050473202
1611301O210,161130-1 O-210 collar,17.12
1608081,160803-1,5.635528330781034
1607261,160726-1,6.73684210526331
1611305O214,161130-5 O-214 collar,4.24
1607262,160726-2,7.087576374745463
161216O247,161216 O-247,5.36
161206O231,161206 O-231,29.6
161208O236,161208 O-236,8.32
1607264,160726-4,5.36
1611302O211,161130-2 O-211,5.477178423236587
161216F117,161216 F-117,6.0
1607281,160728-1,5.44532947139756
180530C1,180530-C1,5.255474452554582
180604C1,180604-C1,9.372937293729455
180627C2,180627-C2,13.472222222222245
180612C1,180612-C1,6.134715025906822
180526C1,180526-C1,9.24384027187767
180629N1,180629-N1,6.178092986603598
180629N3,180629-N3,12.919254658385166
070609Ba,Ba20170609,5.913229780396335
Ba170615,Ba20170615,5.76
Ba170616,Ba20170616,8.809523809523773
Bb20170616,Bb20170616,5.051302288871502
Bc20170717,Bc20170717,5.955835962145144
Ba180110,Ba180110_ear,13.280000000000001
Bb180110,Bb180110_ear,7.3932697137117565
Bc180110,Bc180110_ear,10.676284941388936
Bd180110,Bd180110_ear,6.959999999999999
Be180110,Be180110_ear,12.3845193508115
Bf180110,Bf180110_ear,15.097613882862923
Bg180110,Bg180110_ear,12.2048066875651
180625N1,,7.544715447154361
180625N2,,36.14095898324679
180625N3,,4.860267314702298
18070401,,10.12658227848109
180618N2,,15.026455026454682
180618N1,,14.645308924485112
18070302,,7.635960044395317
18070901,,17.83132530120516
1608041,160804-1 ,28.560653676933004
161215T1,161215 T-1,30.253736531108817
161215T2,161215 T-2,23.796954314720757
161216O247,161216 O-247,7.394296951819106
Ba20170615,Ba20170615,10.067763794772468
